host_id,host_name,host_since,is_superhost,response_rate,created_at
117,Regina Dixon,2021-07-19,True,72,2025-12-26 14:15:54.011160
118,Janet Austin,2020-02-07,True,77,2025-12-26 14:15:54.011160
119,Patrick Summers,2016-12-28,False,86,2025-12-26 14:15:54.011160
120,Pam Elliott,2019-01-16,True,72,2025-12-26 14:15:54.011160
121,Samantha Wolf,2017-01-13,False,93,2025-12-26 14:15:54.011160
122,Claire Butler,2024-10-16,False,80,2025-12-26 14:15:54.011160
123,Eric Johnson,2021-08-19,True,99,2025-12-26 14:15:54.011160
124,Jason Martin,2023-02-07,False,86,2025-12-26 14:15:54.011160
125,Andrew Willis,2018-07-11,False,83,2025-12-26 14:15:54.011160
126,Alan Cardenas,2024-09-20,False,96,2025-12-26 14:15:54.011160
127,Danielle Malone,2023-07-19,False,80,2025-12-26 14:15:54.011160
128,Daniel Henry,2018-11-29,True,72,2025-12-26 14:15:54.011160
129,Donald Carter,2023-09-16,False,77,2025-12-26 14:15:54.011160
130,Jason Lee,2018-06-26,True,98,2025-12-26 14:15:54.011160
131,Patrick Brooks,2018-09-09,False,75,2025-12-26 14:15:54.011160
132,Michelle Ritter,2022-10-19,False,88,2025-12-26 14:15:54.011160
133,Chase Jenkins,2020-12-12,True,96,2025-12-26 14:15:54.011160
134,Jared Duncan,2023-02-02,True,82,2025-12-26 14:15:54.011160
135,Sarah Ellis,2020-01-31,False,93,2025-12-26 14:15:54.011160
136,Nicole Lopez,2022-04-27,False,80,2025-12-26 14:15:54.011160
137,George Mccann,2022-03-08,False,72,2025-12-26 14:15:54.011160
138,Sherry Jackson,2017-11-26,True,82,2025-12-26 14:15:54.011160
139,Mary Anderson,2017-03-24,True,79,2025-12-26 14:15:54.011160
140,William Turner,2020-06-12,False,70,2025-12-26 14:15:54.011160
141,Nicole Schwartz,2022-03-15,True,85,2025-12-26 14:15:54.011160
142,Kristin Jones,2022-04-09,False,92,2025-12-26 14:15:54.011160
143,Hunter Perez,2020-12-29,True,93,2025-12-26 14:15:54.011160
144,Emily Knight,2022-12-04,True,94,2025-12-26 14:15:54.011160
145,Alan Vega,2024-11-29,False,78,2025-12-26 14:15:54.011160
146,Eddie Kirby,2022-01-04,False,84,2025-12-26 14:15:54.011160
147,Jasmine Jackson,2019-11-17,True,88,2025-12-26 14:15:54.011160
148,Maria Trujillo,2024-06-23,False,95,2025-12-26 14:15:54.011160
149,Heather Norman,2023-08-06,False,78,2025-12-26 14:15:54.011160
150,Lori Mckinney,2022-10-03,True,79,2025-12-26 14:15:54.011160
151,Michael Sanchez,2017-05-07,False,89,2025-12-26 14:15:54.011160
152,John Reyes,2017-05-18,False,100,2025-12-26 14:15:54.011160
153,Stephen Turner,2016-07-13,True,72,2025-12-26 14:15:54.011160
154,Andrew Mcintosh,2018-07-03,False,80,2025-12-26 14:15:54.011160
155,Matthew Holt,2018-06-03,False,75,2025-12-26 14:15:54.011160
156,Jeffrey Clark,2016-02-13,True,74,2025-12-26 14:15:54.011160
157,Diana Freeman,2018-02-05,False,78,2025-12-26 14:15:54.011160
158,Donna Harrington,2021-05-06,True,93,2025-12-26 14:15:54.011160
159,Jeffrey Gross,2016-07-06,True,76,2025-12-26 14:15:54.011160
160,Pamela Perez,2023-03-11,False,83,2025-12-26 14:15:54.011160
161,Jenna Henry,2020-05-28,True,75,2025-12-26 14:15:54.011160
162,Michael Anderson,2021-01-16,True,72,2025-12-26 14:15:54.011160
163,Breanna Bartlett,2019-11-01,False,91,2025-12-26 14:15:54.011160
164,Barbara Mckinney,2019-09-01,True,85,2025-12-26 14:15:54.011160
165,Thomas Larsen,2024-09-18,False,84,2025-12-26 14:15:54.011160
166,Crystal Hernandez,2021-12-27,False,83,2025-12-26 14:15:54.011160
167,Jessica Fischer,2021-09-11,False,94,2025-12-26 14:15:54.011160
168,Duane Long,2016-11-18,True,83,2025-12-26 14:15:54.011160
169,Travis Rodriguez,2022-12-08,True,74,2025-12-26 14:15:54.011160
170,Richard Weiss,2016-10-20,True,81,2025-12-26 14:15:54.011160
171,Dr. David Evans,2020-12-07,False,82,2025-12-26 14:15:54.011160
172,Daniel Evans,2021-06-02,False,89,2025-12-26 14:15:54.011160
173,Tracy Vasquez,2024-01-10,False,100,2025-12-26 14:15:54.011160
174,Alejandro Shepherd,2022-02-19,True,70,2025-12-26 14:15:54.011160
175,Joseph Powers,2020-06-03,False,75,2025-12-26 14:15:54.011160
176,Lawrence Ortega,2022-06-23,False,76,2025-12-26 14:15:54.011160
177,Nichole Byrd,2021-01-30,True,74,2025-12-26 14:15:54.011160
178,Linda Keith,2021-11-12,True,99,2025-12-26 14:15:54.011160
179,Kristen Black,2018-01-18,True,96,2025-12-26 14:15:54.011160
180,John Sandoval,2020-07-03,True,99,2025-12-26 14:15:54.011160
181,Autumn Wood,2019-10-17,True,82,2025-12-26 14:15:54.011160
182,Julie Bass,2016-05-22,False,85,2025-12-26 14:15:54.011160
183,Bob Boyd,2015-12-26,True,78,2025-12-26 14:15:54.011160
184,William Wright,2018-01-25,False,77,2025-12-26 14:15:54.011160
185,Beth Nguyen,2019-01-27,True,72,2025-12-26 14:15:54.011160
186,Lauren Mueller,2024-06-04,True,70,2025-12-26 14:15:54.011160
187,Regina Lee,2023-12-03,True,99,2025-12-26 14:15:54.011160
188,Danielle Houston,2021-08-13,True,80,2025-12-26 14:15:54.011160
189,Chris Ruiz,2024-09-16,True,89,2025-12-26 14:15:54.011160
190,Rachel Ochoa,2017-12-05,False,85,2025-12-26 14:15:54.011160
191,Jessica Lewis,2019-03-05,False,77,2025-12-26 14:15:54.011160
192,Kristen Peterson,2022-01-10,False,98,2025-12-26 14:15:54.011160
193,Alexander Rogers,2023-06-03,True,94,2025-12-26 14:15:54.011160
194,Katrina Flores,2020-07-28,False,81,2025-12-26 14:15:54.011160
195,William Jackson,2017-06-02,False,84,2025-12-26 14:15:54.011160
196,Michael Spencer,2018-09-30,False,100,2025-12-26 14:15:54.011160
197,Phillip Ross,2021-09-05,False,71,2025-12-26 14:15:54.011160
198,Tracy Baird,2023-03-09,True,94,2025-12-26 14:15:54.011160
199,Susan Armstrong,2019-04-29,False,97,2025-12-26 14:15:54.011160
200,Bryan Cruz,2024-10-01,False,83,2025-12-26 14:15:54.011160
